id	dep_code	publish	title	note	url	url_link	wikipedia	wikipedia_url	wikipedia_url_link	publish_en	title_en	url_en	url_en_link	site_language
14	020,400	附属図書館（総合図書館）, 情報基盤センター	紀州熊野浦諸鯨之圖	博物学者である田中芳男氏(1838年-1916年)が、3種類の捕鯨図を貼り合わせて作成したと言われる「（享保八年）紀州熊野浦諸鯨之圖」の公開サイトです。鯨のほか、サメやマンボウなども描かれています。	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kujira/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kujira/	田中 芳男（たなか よしお、天保9年8月9日（1838年9月27日） - 大正5年（1916年）6月22日）は、幕末から明治期に活躍した博物学者、物産学者、農学者、園芸学者、錦鶏間祗候、男爵。明治期に動物園、植物園を構想し、上野で実現。「博物館」という名称を生み出し、殖産興業の指導に尽力、基礎博物学の啓蒙につとめる。パリで行われた第4回万国博覧会、ウィーン万国博覧会に責任者として派遣される。元老院議官、貴族院議員、大日本山林会会長、日本園芸会副会長を歴任	https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E8%8A%B3%E7%94%B7	https://ja.wikipedia.org/wiki/%E7%94%B0%E4%B8%AD%E8%8A%B3%E7%94%B7	Library System (General Library), Information Technology Center	Kishu Kumanoura Shogeinozu [Whales at Kishu Kumano Bay]	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kujira/	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/kujira/	Japanese
15	020,400	附属図書館（総合図書館）, 情報基盤センター	水野家古文書(水野忠幹氏旧蔵書文書)	紀州徳川家の附家老であった水野家が所蔵していた古文書類のうち、明治33(1900)年に水野家第十代当主忠幹(ただもと)から南葵文庫に寄贈された資料の公開サイトです。	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/mizuno/page/home	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/mizuno/page/home	水野氏（みずのし）は、清和源氏を称する日本の氏族。戦国時代には緒川城、刈谷城を中心に尾張国南部の知多半島と三河国西部に領地を広げ、織田氏や徳川氏と同盟を結び最盛期には24万石[1]と称される勢力となった。宗家のほか、大高水野氏、常滑水野氏などの諸氏があった。宗家は徳川家康の母・伝通院の実家にあたり、江戸時代には徳川氏の外戚家として遇された。柳営秘鑑では、岡崎譜代とされる。近世大名家を輩出した一族の一つであり、また江戸時代中期から後期には幕府の老中に人物を輩出し続け、享保の改革や天保の改革に関与するなど、国政を握った。幕末期においては、下総結城藩、駿河沼津藩、上総鶴牧藩、出羽山形藩の各藩の藩主が水野氏であった。その他、寛文7年（1667年）に改易となった上野安中藩の藩主や紀州藩の附家老であった紀伊新宮城主もこの一族であった。	https://ja.wikipedia.org/wiki/%E6%B0%B4%E9%87%8E%E6%B0%8F	https://ja.wikipedia.org/wiki/%E6%B0%B4%E9%87%8E%E6%B0%8F	Library System (General Library), Information Technology Center	Old and Rare Documents of the Mizuno Family (Documents Formerly Held by Mizuno Tadamoto)	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/mizuno/page/home	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/mizuno/page/home	Japanese
16	020	大蔵経研究推進会議, SAT大蔵経テキストデータベース研究会	万暦版大蔵経（嘉興蔵/径山蔵）デジタル版	総合図書館で所蔵されている万暦版大蔵経（嘉興蔵）の画像19万ページ超をIIIFに準拠してオープンライセンス（CC BY）で公開しているサイトです。本データベースは、大蔵経研究推進会議・ SAT大蔵経テキストデータベース研究会により構築されています。	https://dzkimgs.l.u-tokyo.ac.jp/kkz/	https://dzkimgs.l.u-tokyo.ac.jp/kkz/				Council for Promotion of Study of Daizokyo, SAT Daizōkyō Text Database Committee	Wan Li Ban Da Zang Jing (Jia Xing Zang / Jing Shan Zang) Digital Edition	https://dzkimgs.l.u-tokyo.ac.jp/kkz/index_en.html	https://dzkimgs.l.u-tokyo.ac.jp/kkz/index_en.html	
17	030,070	工学系研究科環境海洋工学専攻, 新領域創成科学研究科人間環境学専攻, 呉市海事歴史科学館（大和ミュージアム）	平賀譲デジタルアーカイブ	海軍造船官であり、第13代東京帝国大学総長でもある平賀譲(1878-1943)の遺した艦艇計画・建造関係資料のデジタルアーカイブです。（本データベースの問い合わせ先：柏図書館）	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/page/home	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/page/home	平賀 譲（ひらが ゆずる、1878年（明治11年）3月8日 - 1943年（昭和18年）2月17日）は、日本の海軍軍人、工学者、華族。海軍技術中将従三位男爵、東京帝大総長、工学博士。東京府（現・東京都）生まれ、本籍地は広島県広島市。父は芸州藩士から維新政府に仕えた主計官。兄・徳太郎は海軍軍人。大正時代から昭和初期にかけて海軍艦政本部で艦艇設計に従事し、妙高型重巡洋艦などの画期的な重武装艦を設計したことで知られる。	https://ja.wikipedia.org/wiki/%E5%B9%B3%E8%B3%80%E8%AD%B2	https://ja.wikipedia.org/wiki/%E5%B9%B3%E8%B3%80%E8%AD%B2	Graduate School of Engineering / Faculty of Engineering, Graduate School of Frontier Sciences, Kure Maritime Museum(Yamato Museum)	Yuzuru Hiraga Digital Archive	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/page/home	https://iiif.dl.itc.u-tokyo.ac.jp/repo/s/hiraga/page/home	Japanese
18	050	法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫	明探 ： 明治新聞雑誌文庫所蔵資料データベース	明治新聞雑誌文庫の所蔵資料を検索できるデータベースです。明治期から昭和戦前期の新聞、錦絵新聞、宮武外骨蒐集資料（外骨書函）・吉野作造旧蔵資料（吉野文庫）などを検索することができます。一部（錦絵新聞・古写真）は画像公開もされています。	http://www.meitan.j.u-tokyo.ac.jp/	http://www.meitan.j.u-tokyo.ac.jp/				Graduate Schools for Law and Politics / Faculty of Law Center for modern Japanese Legal and Politics Documents (Meiji Shinbun Zasshi Bunko)	MEITAN: The University of Tokyo Meiji Sinbun Zasshi Bunko OPAC	http://www.meitan.j.u-tokyo.ac.jp/	http://www.meitan.j.u-tokyo.ac.jp/	Japanese
20	050	法学政治学研究科・法学部	「国家と市場の相互関係におけるソフトロー」刊行物　[法学政治学研究科・法学部]	グローバルCOEプログラム「国家と市場の相互関係におけるソフトロー」の研究成果、刊行物を公開しているサイトです。このうち「UT Soft Law Review」と「Newslatter」は無料で閲覧することができます。	http://www.gcoe.j.u-tokyo.ac.jp/publications/index.html	http://www.gcoe.j.u-tokyo.ac.jp/publications/index.html				Graduate Schools for Law and Politics / Faculty of Law	Publications. Soft Law and the State-Market Relationship [Faculty of Law]	http://www.gcoe.j.u-tokyo.ac.jp/en/publications/index.html	http://www.gcoe.j.u-tokyo.ac.jp/en/publications/index.html	
21	050	法学政治学研究科附属ビジネスロー・比較法政研究センター	ICCLP annual report　日本語版　[法学政治学研究科附属ビジネスロー・比較法政研究センター]	法学政治学研究科附属ビジネスロー・比較法政研究センターによる年報の日本語版公開サイトです。	http://www.ibc.j.u-tokyo.ac.jp/publications/annual.html	http://www.ibc.j.u-tokyo.ac.jp/publications/annual.html				Institute of Business Law and Comparative Law and Politics (IBC) Graduate Schools for Law and Politics	ICCLP Annual Report (Japanese) [Institute of Business Law and Comparative Law & Politics (IBC), Graduate Schools for Law and Politics, The University of Tokyo]	http://www.ibc.j.u-tokyo.ac.jp/en/publications/annual.html	http://www.ibc.j.u-tokyo.ac.jp/en/publications/annual.html	
23	050	法科大学院（法学政治学研究科法曹養成専攻）	東京大学法科大学院ローレビュー	法科大学院（法学政治学研究科法曹養成専攻）の学生による研究成果の公表を主たる目的とした「東京大学法科大学院ローレビュー」の公開サイトです。	http://www.sllr.j.u-tokyo.ac.jp/	http://www.sllr.j.u-tokyo.ac.jp/				Graduate Schools for Law and Politics / Faculty of Law School of Law	The University of Tokyo Law Review	http://www.sllr.j.u-tokyo.ac.jp/index_e.html	http://www.sllr.j.u-tokyo.ac.jp/index_e.html	
24	050	法学政治学研究科専修コース	東京大学法学政治学研究科専修コース研究年報	法学政治学研究科専修コースの研究年報を公開するサイトです。（専修コースは2004年に廃止となっています。）	http://www.j.u-tokyo.ac.jp/jjweb/	http://www.j.u-tokyo.ac.jp/jjweb/				The University of Tokyo Graduate School Division of Law and Politics ""SENSHU"" (LL.M.) Program	Annual Report. The University of Tokyo Graduate School, Division of Law and Politics, LL.M. Program	http://www.j.u-tokyo.ac.jp/jjweb/	http://www.j.u-tokyo.ac.jp/jjweb/	Japanese
25	070	工学系研究科・工学部	鉱山絵図・絵巻コレクション画像データベース	工学部で所蔵する鉱山の絵図・絵巻コレクションの公開サイトです。たたら炉による製鉄などの鉄鋼産業を紹介した「先大津阿川村山砂鉄洗取之図」等が閲覧できます。	http://gazo.dl.itc.u-tokyo.ac.jp/kozan/	http://gazo.dl.itc.u-tokyo.ac.jp/kozan/				Graduate School of Engineering / Faculty of Engineering	Mines in Paintings and Illustrated Scrolls Collection Image Database	http://gazo.dl.itc.u-tokyo.ac.jp/kozan/	http://gazo.dl.itc.u-tokyo.ac.jp/kozan/	Japanese
